"","idGame","Team","Player_Name","groupStartPosition","idTeam","idPlayer","fgm","fga","pctFG","fg3m","fg3a","pctFG3","pctFT","fg2m","fg2a","pctFG2","cityTeam","teamName","isStarter","minExact","ftm","fta","oreb","dreb","treb","ast","stl","blk","tov","pf","Points","plusminus","pctAST","pctOREB","pctDREB","pctTREB","pctTOVTeam","pctEFG","pctTS","pctUSG","pctUSGE","ortgE","ortg","drtgE","drtg","netrtgE","netrtg","ratioASTtoTOV","ratioAST","paceE","pace","pacePer40PACE_PER40","possessions","ratioPIE","pctFG2MasAssisted","pctFG2MasUnassisted","pctFG3MasAssisted","pctFG3MasUnassisted","pctFGMasAssisted","pctFGMasUnassisted","pctFGAasFG2","pctFGAasFG3","pctPTSasFG2","pctPTSasFG2asMR","pctsPTSasFG3","pctPTSasFB","pctPTSasFT","pctPTSasOffTOV","pctPTSasPaint","ptsOffTOV","ptsSecondChance","ptsFastBreak","ptsPaint","ptsOffTOVOpponent","ptsSecondChanceOpponent","ptsFastBreakOpponent","ptsPaintOpponent","blka","pfd","pctFGMOfTeam","pctFGAOfTeam","pctFG3MOfTeam","pctFG3AOfTeam","pctFTMOfTeam","pctFTAOfTeam","pctOREBOfTeam","pctDREBOfTeam","pctREBOfTeam","pctASTOfTeam","pctTOVOfTeam","pctSTLOfTeam","pctBLKOfTeam","pctBLKAOfTeam","pctPFOfTeam","pctPFDOfTeam","pctPTSOfTeam","pctEFGOpponent","pctTOVOpponent","pctOREBOpponent","rateFTA","rateFTAOpponent","fgContested","fg2Contested","fg3Contested","boxOutsPlayerTeamRebound","screenAssist","ptsScreenAssist","deflections","chargesDrawn","looseBallsRecoveredOffense","looseBallsRecoveredDefense","looseBallsRecovered","boxOutsOffense","boxOutsDefense","boxOutsPlayerTREB","boxOuts","passes","fgmContested","fgaContested","pctFGContested","fgmUncontested","fgaUncontested","pctFGUncontested","fgmRimDefended","fgaRimDefended","pctFGRimDefended","distMiles","mphMean","orebChances","drebChances","trebChances","touches","astSecondary","ftAST"
"1",22100613,"PHX","Mikal Bridges","F",1610612756,1628969,5,12,0.417,1,6,0.166666666666667,1,4,6,0.666666666666667,"Phoenix","Mikal",TRUE,40.85,1,1,0,3,3,1,1,0,2,2,12,-4,0.042,0,0.065,0.037,13.3,0.458,0.482,0.154,0.154,100.2,103.8,107.2,107.5,-6.9,-3.7,0.5,6.7,95.19,93.4,77.83,79,0.048,0.75,0.25,1,0,0.8,0.2,0.5,0.5,0.667,0,0.25,0.417,0.083,0.25,0.667,3,0,5,8,18,16,10,42,0,1,0.172,0.185,0.125,0.222,0.063,0.05,0,0.13,0.094,0.05,0.118,0.111,0,0,0.105,0.059,0.146,0.48,0.187,0.439,0.308,0.284,4,2,2,"0",0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",22100613,"PHX","Jae Crowder","F",1610612756,203109,7,14,0.5,5,11,0.454545454545455,0,2,3,0.666666666666667,"Phoenix","Jae",TRUE,34.9666666666667,0,0,0,5,5,3,2,0,2,0,19,12,0.15,0,0.128,0.075,10.5,0.679,0.679,0.211,0.211,111.4,116.2,99.5,100,11.9,16.2,1.5,15.8,94.91,92.66,77.22,68,0.182,0.5,0.5,1,0,0.857,0.143,0.214,0.786,0.211,0,0.789,0.105,0,0.263,0.211,5,0,2,4,10,10,6,32,0,0,0.259,0.255,0.556,0.407,0,0,0,0.25,0.2,0.158,0.154,0.222,0,0,0,0,0.241,0.458,0.208,0.429,0.327,0.317,7,4,3,"1",0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",22100613,"PHX","Deandre Ayton","C",1610612756,1629028,5,7,0.714,0,0,0,1,5,7,0.714285714285714,"Phoenix","Deandre",TRUE,30.0333333333333,6,6,3,6,9,0,0,1,2,4,16,7,0,0.12,0.182,0.155,16.7,0.714,0.83,0.185,0.185,110,115.5,102.6,101.7,7.4,13.8,0,0,95.41,93.5,77.91,58,0.172,1,0,0,0,1,0,1,0,0.625,0,0,0,0.375,0.125,0.625,2,2,0,10,12,10,6,28,0,3,0.227,0.149,0,0,0.375,0.333,0.75,0.375,0.45,0,0.2,0,1,0,0.286,0.2,0.239,0.462,0.222,0.467,0.383,0.327,10,6,4,"0",3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",22100613,"PHX","Devin Booker","G",1610612756,1626164,4,13,0.308,2,7,0.285714285714286,0.75,2,6,0.333333333333333,"Phoenix","Devin",TRUE,36.1166666666667,6,8,1,4,5,3,1,0,3,6,16,-1,0.143,0.03,0.103,0.069,13.6,0.385,0.484,0.238,0.24,97,100,96.4,100,0.5,0,1,13.6,95.52,92.36,76.97,69,0.045,0.5,0.5,1,0,0.75,0.25,0.462,0.538,0.25,0.125,0.375,0,0.375,0.063,0.125,1,5,0,2,16,7,8,36,0,5,0.16,0.228,0.222,0.269,0.6,0.571,0.125,0.174,0.161,0.188,0.188,0.125,0,0,0.353,0.385,0.232,0.462,0.179,0.343,0.246,0.231,3,3,0,"0",0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",22100613,"PHX","Chris Paul","G",1610612756,101108,6,11,0.545,1,3,0.333333333333333,1,5,8,0.625,"Phoenix","Chris",TRUE,33.25,2,2,0,2,2,12,5,0,2,3,15,16,0.6,0,0.051,0.03,7.7,0.591,0.631,0.189,0.189,113.4,118.5,95.3,92.4,18.1,26,6,46.2,95.25,94.56,78.8,65,0.232,0,1,0,1,0,1,0.727,0.273,0.667,0.533,0.2,0.333,0.133,0.267,0.133,4,0,5,2,12,10,6,30,1,5,0.231,0.208,0.111,0.12,0.125,0.111,0,0.087,0.069,0.667,0.154,0.714,0,1,0.188,0.333,0.195,0.431,0.187,0.361,0.34,0.276,1,0,1,"0",0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",22100613,"PHX","Cameron Payne",NA,1610612756,1626166,2,5,0.4,0,1,0,0,2,4,0.5,"Phoenix","Cameron",TRUE,14.75,0,0,0,0,0,3,0,0,2,2,4,-12,0.429,0,0,0,20,0.4,0.4,0.233,0.235,85.4,84.6,113.5,117.2,-28.1,-32.6,1.5,30,90.66,89.49,74.58,26,0,1,0,0,0,1,0,0.8,0.2,1,0.5,0,0,0,0,0.5,0,2,0,2,6,6,4,18,1,0,0.222,0.238,0,0.143,0,0,0,0,0,0.429,0.286,0,0,0.5,0.286,0,0.182,0.484,0.134,0.6,0.19,0.29,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",22100613,"PHX","JaVale McGee",NA,1610612756,201580,2,3,0.667,0,0,0,0,2,3,0.666666666666667,"Phoenix","JaVale",TRUE,13.85,0,2,1,2,3,0,1,0,1,1,4,-11,0,0.083,0.111,0.1,20,0.667,0.515,0.172,0.174,88.9,88,115.7,117.9,-26.9,-29.9,0,0,92.33,91.84,76.53,25,0.065,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,4,6,6,4,18,0,2,0.222,0.15,0,0,0,0.5,0.25,0.333,0.3,0,0.143,0.5,0,0,0.143,0.4,0.182,0.5,0.105,0.571,0.2,0.267,7,6,1,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",22100613,"PHX","Jalen Smith",NA,1610612756,1630188,3,6,0.5,1,2,0.5,0,2,4,0.5,"Phoenix","Jalen",TRUE,17.6,0,0,3,2,5,1,0,1,3,4,7,1,0.1,0.2,0.077,0.122,30,0.583,0.583,0.231,0.233,104.2,103,95.6,94.3,8.6,8.7,0.33,10,91.56,92.71,77.26,33,0.04,0.5,0.5,1,0,0.667,0.333,0.667,0.333,0.571,0.286,0.429,0,0,0.286,0.286,2,2,0,2,6,6,4,18,1,2,0.231,0.222,0.25,0.222,0,0,0.5,0.143,0.25,0.1,0.333,0,1,0.5,0.5,0.333,0.206,0.417,0.087,0.364,0.222,0.222,7,5,2,"1",1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",22100613,"PHX","Landry Shamet",NA,1610612756,1629013,1,2,0.5,1,2,0.5,1,0,0,0,"Phoenix","Landry",TRUE,13.9,3,3,0,2,2,2,0,0,1,0,6,6,0.2,0,0.083,0.063,16.7,0.75,0.904,0.148,0.151,134.6,132,102.7,100,31.8,32,2,33.3,87.69,89.76,74.8,25,0.193,0,0,1,0,1,0,0,1,0,0,0.5,0,0.5,0,0,0,0,0,0,2,9,2,14,0,1,0.091,0.111,0.333,0.286,0.375,0.375,0,0.286,0.222,0.2,0.2,0,0,0,0,0.143,0.182,0.355,0.114,0.65,0.444,0.387,2,0,2,"0",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",22100613,"PHX","Bismack Biyombo",NA,1610612756,202687,0,1,0,0,0,0,0,0,1,0,"Phoenix","Bismack",TRUE,4.66666666666667,0,0,2,3,5,0,0,0,2,1,0,6,0,0.667,0.429,0.5,66.7,0,0,0.273,0.3,125,111.1,50,44.4,75,66.7,0,0,82.29,92.57,77.14,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,1,0,0.143,0,0,0,0,1,0.429,0.556,0,0.667,0,0,0,0.5,1,0,0.25,0,0,0,0,3,3,0,"0",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",22100613,"TOR","Yuta Watanabe","F",1610612761,1629139,0,4,0,0,2,0,0,0,2,0,"Toronto","Yuta",TRUE,15.0166666666667,0,0,0,1,1,0,1,0,1,0,0,-9,0,0,0.143,0.048,20,0,0,0.147,0.156,83.3,80.6,110.1,109.7,-26.8,-29,0,0,97.3,99.09,82.57,31,-0.056,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,8,0,5,16,0,0,0,0.167,0,0.222,0,0,0,0.2,0.143,0,0.125,0.167,0,0,0,0,0,0.786,0.356,0.286,0,0.095,2,1,1,"1",1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",22100613,"TOR","Pascal Siakam","F",1610612761,1627783,10,23,0.435,0,5,0,0.5,10,18,0.555555555555556,"Toronto","Pascal",TRUE,39.3666666666667,2,4,0,7,7,7,3,0,4,6,22,4,0.333,0,0.2,0.089,11.4,0.435,0.444,0.295,0.303,104.6,106.4,99.4,102.6,5.2,3.8,1.75,20,96.83,94.49,78.74,78,0.112,0.3,0.7,0,0,0.3,0.7,0.783,0.217,0.909,0.182,0,0.091,0.091,0.182,0.727,4,2,2,16,14,9,9,26,1,3,0.323,0.329,0,0.192,0.154,0.211,0,0.318,0.2,0.5,0.286,0.3,0,0.5,0.353,0.167,0.265,0.508,0.214,0.267,0.271,0.27,5,4,1,"0",0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
